Y;K;L;P;Region
304343;73127;793;1197.8;Белгородская область
126199.3;26858;638;415.7;Брянская область
188466.3;51546;755;3204;Владимирская область
302510.1;94788;1141;4674.6;Воронежская область
86572.8;31956;551;4070.1;Ивановская область
156646.2;60349;565;1360.3;Калужская область
78700.7;11334;372;564;Костромская область
161473.3;41183;588;737;Курская область
226464;84317;610;25644;Липецкая область
1530623;380061;3739;11377;Московская область
89733.5;19791;416;799.3;Орловская область
152805.8;38036;575;1191.9;Рязанская область
125237.3;34633;548;1127.4;Смоленская область
133587;48795;549;972.9;Тамбовская область
197892;70047;745;1482.9;Тверская область
213621.7;61518;795;6408.9;Тульская область
212801.7;57377;719;5752.9;Ярославская область
7157536.8;742422;6082;25992.7;г. Москва
106228.5;18692;375;1328;Республика Карелия
301410;109469;542;624.6;Республика Коми
323026.5;74284;678;1154.8;Архангельская область
130169.6;36364;24;259.6;в том числе Ненецкий
212833.1;55794;671;3844.6;Вологодская область
169863.5;60463;516;371.5;Калинингpадская область
425111.1;190860;912;8042;Ленинградская область
201785.4;41722;522;3386.5;Мурманская область
117497.1;35617;344;939;Новгородская область
74550.1;12717;363;171;Псковская область
1473348.2;334074;2718;16261.6;г. Санкт-Петербург
41439.2;15874;203;90.1;Республика Адыгея
23898.8;8106;146;0;Республика Калмыкия
857527.3;377013;2628;665.9;Краснодарский край
132211.8;61953;529;273.2;Астраханская область
377366.3;75591;1343;5564.8;Волгоградская область
556194.2;170845;2199;2123.7;Ростовская область
795453.2;267085;4387;2967.4;Республика Дагестан
265092.1;102189;1272;51.3;Кабардино-Балкарская Республика
66427.1;17514;412;172.6;Карачаево-Черкесская Республика
38582.7;10145;214;705.9;Республика Северная
65140.7;13927;365;102.4;Чеченская Республика (1990 г. - включая Республику Ингушетия)
64089.7;41508;549;0;Ставропольский край
277466.8;75279;1347;1935.3;Республика Башкортостан
645526.3;148142;2067;11674.8;Республика Марий Эл
68768;16576;366;507.4;Республика Мордовия
92855.1;31968;464;597.5;Республика Татарстан
884232.9;277573;1996;8262.5;Удмуртская Республика
229369.1;40450;852;4147.3;Чувашская Республика
139481.8;35688;688;3198;Пермский край
544541.3;132274;1449;9773.1;Кировская область
144989.1;31471;768;1143.8;Нижегородская область
545940.1;201692;1824;23805;Оренбургская область
414537.2;91268;1099;4132.6;Пензенская область
150851;43603;689;696.2;Самарская область
579023.2;111189;1744;7923.1;Саратовская область
327181.1;67760;1351;3417.2;Ульяновская область
152627.4;49500;680;1983.4;Курганская область
4396560.3;1337857;6635;81639.9;Свердловская область
108489.2;35021;453;571.2;Тюменская область
823833;200368;2383;16656.2;Ханты-Мансийский автономный округ - Югра
2899567.1;957021;1914;23379.8;Ямало-Ненецкий автономный округ
1811590.9;472195;906;20154.7;Челябинская область
651871.4;344336;326;2764.3;Республика Алтай
564671;145446;1884;41032.8;Республика Бурятия
19858.5;7169;102;26.4;Республика Тыва
124610.3;23379;457;527;Республика Хакасия
26918.9;5188;130;45.3;Алтайский край
83839;12837;280;97.5;Забайкальский край
267535;45026;1283;688.3;Красноярский край
148381.8;42271;549;61.3;Иркутская область
748512.1;247789;1580;8030.9;Кемеровская область
455529.2;106550;1318;5460.1;Новосибирская область
512421.6;110074;1460;901.1;Омская область
423945.5;100448;1406;3069.4;n
336191.2;59184;1062;4304.5;n
242481.2;74679;549;3446.6;Томская область
329679.6;192648;501;794.6;Республика Саха (Якутия)
95591;24385;206;109.9;Камчатский край
367698.3;149813;1099;721.7;Приморский край
274983.5;96974;771;2140.4;Хабаровский край
151750.4;65625;457;215.5;Амурская область
48128.4;15178;104;1039;Магаданская область
392311.7;118446;295;59697.2;Сахалинская область
25345.1;8039;90;61.3;Еврейская автономная область
45397;15001;32;0;Чукотский автономный округ
